"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
956,senthari rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,50,00,000","2,50,00,000","10,000","15,000"
957,shekhupura rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
958,shyama royal vila pra. li. vikrampur rod se andar,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,27,92,000","1,27,92,000","8,000","12,000"
959,"vaishnodham fas 3 gram santhri avan gram girgaon  ,  maa baishnon nagar gram santhri  ,  shivnivara green gram santhri","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,50,00,000","2,50,00,000","10,000","15,000"
960,vikrampur rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
961,,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","20,300","35,600","80,00,000","80,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 63, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
962,AKBARPUR KHALSA (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,20,00,000","3,20,00,000","15,000","22,500"
963,AKBARPUR KHALSA (ROAD SE ANDAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,60,00,000","1,60,00,000","10,000","15,000"
964,BAROAA NURABAD  (A. B. ROAD BAYPASS ROAD PAR)),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,75,00,000","1,75,00,000","15,000","22,500"
965,BARUAA NOORABAAD ROAD SE ANDAR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,00,00,000","1,00,00,000","8,000","12,000"
966,CHAK JAGRUPURA (ANYA ROAD PAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,50,00,000","1,50,00,000","8,000","12,000"
967,CHAK JAMAHAR,"3,000","4,500","3,000","16,000","10,200","8,600","7,000","28,500","26,900","25,300","12,800","22,800","1,00,00,000","1,00,00,000","3,000","4,500"
968,CHAK JAMAHAR ( ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
969,CHAKRAIPUR (ANYA ROAD PAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","2,50,00,000","2,50,00,000","8,000","12,000"
970,CHAKRAIPUR (ANYA ROAD SE ANDAR),"3,000","4,500","3,000","16,000","10,200","8,600","7,000","28,500","26,900","25,300","12,800","22,800","80,00,000","80,00,000","3,000","4,500"
971,DONDIYAPURA (ANYA ROAD PAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","2,00,00,000","2,00,00,000","8,000","12,000"
972,DONDIYAPURA (ANYA ROAD SE ANDAR),"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","80,00,000","80,00,000","6,000","9,000"
973,GANGAPUR A. B. ROAD  BAYPASS & MORENA  LINK  ROAD,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","2,00,00,000","2,00,00,000","25,000","37,500"
974,JAMAHAR ( ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
975,JAMAHAR (ROAD SE ANDAR),"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,50,00,000","1,50,00,000","6,000","9,000"
976,JLALPUR  (ROAD SE ANDAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,000","1,50,00,000","1,50,00,000","8,000","12,000"
977,"JLALPUR ,  ( A.B.ROAD  & A. B. ROAD BAYPASS &  LINK MORENA ROAD)","25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","3,00,00,000","3,00,00,000","25,000","37,500"
978,KUARPUR (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,30,00,000","1,12,00,000","10,000","15,000"
979,KUARPUR (ROAD SE ANDAR),"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,00,00,000","1,00,00,000","6,000","9,000"
980,"M. V. GREEN  HILLS,  CHAKRAIPUR ( ROAD SE ANDAR)","7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","1,25,00,000","1,25,00,000","7,000","10,500"
981,MADANPURA (ROAD PAR),"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","1,30,00,000","1,30,00,000","5,000","7,500"
982,MADANPURA (ROAD SE ANDAR),"4,000","6,000","4,000","17,000","11,200","9,600","8,000","30,000","28,400","26,800","13,600","24,000","80,00,000","80,00,000","4,000","6,000"
983,MAU (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,00,00,000","3,00,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 63, Tehsil : Gird",,,,,,,,,,,,,,,,,
984,MAU (ROAD SE ANDAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","3,00,00,000","3,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
985,RAYRU (A.B.ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
986,RAYRU (ROAD SE ANDAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,00,00,000","1,00,00,000","8,000","12,000"
987,"ROAD PAR, KALYANPUR","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,20,00,000","1,20,00,000","10,000","15,000"
988,"ROAD PAR,JUGRUPURA","5,000","7,500","5,000","13,000","9,800","8,200","7,400","31,500","29,900","28,300","14,400","25,200","1,20,00,000","1,20,00,000","5,000","7,500"
989,"ROAD SE ANDAR, GANGAPUR","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","32,400","1,00,00,000","1,00,00,000","15,000","22,500"
990,"ROAD SE ANDAR, JUGRUPURA","4,000","6,000","4,000","17,000","11,200","9,600","8,000","30,000","28,400","26,800","13,600","24,000","1,00,00,000","80,00,000","4,000","6,000"
991,"ROAD SE ANDAR, KALYANPUR","6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,00,00,000","1,00,00,000","6,000","9,000"
992,RUDRAPURA  (ROAD SE ANDAR),"5,500","8,250","5,500","18,500","12,700","11,100","9,500","32,250","30,650","29,050","14,800","25,800","1,00,00,000","1,00,00,000","5,500","8,250"
993,RUDRAPURA (ROAD PAR),"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,50,00,000","1,00,00,000","10,000","15,000"
994,khard city shriram colony malanpur (rod se andar),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","8,00,00,000","8,00,00,000","12,000","18,000"
995,malanpur A B  link rod & N H & vaypas,"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","1,80,00,000","1,80,00,000","25,000","37,500"
996,rasulpura rod se andar,"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","2,00,00,000","2,00,00,000","6,000","9,000"
997,sahanpur rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,27,92,000","1,27,92,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
998,KHARD CITY MALANPUR,"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","5,50,00,000","5,50,00,000","12,000","18,000"
999,"KHERIBHAN BANKE VIHARI DHAM, SUNRISE ENCLLAVE","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
1000,KHERIBHAN SADA ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1001,NEW SADA ROAD (MOTI JHEEL SE BYPASS MARG TAK JANE WALE RASTE PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1002,PURANI CHAWANI ( ROAD PAR),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","2,50,00,000","2,50,00,000","25,000","37,500"
1003,PURANI CHAWANI ROAD SE ANDAR,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
1004,"PURANI CHHAVNI ROAD SE ANDAR , BAPU NAGAR,DEVNAGAR  GRAM PURANI CHHAVNI ,LORENCE COLONY, PARIKALP ASSOCIATE, KAYAM RIYALTI, BLUE LOTOS HOUSE CHAVANI ROAD SE ANDAR , SMART CITY COLONY","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 64, Tehsil : Gird",,,,,,,,,,,,,,,,,
1005,SHANKARPUR ( A.B.ROAD  & A. B. ROAD BAYPASS),"30,000","45,000","30,000","43,000","37,200","35,600","34,000","69,000","67,400","65,800","34,400","55,200","2,50,00,000","2,50,00,000","30,000","45,000"
1006,SHANKARPUR (ROAD SE ANDAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 64, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
1007,"SMART CITY COLONY  PURANI CHHAWANI,","9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","16,800","30,000","9,00,00,000","9,00,00,000","9,000","13,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1008,TEHLRI (ROAD SE ANDAR),"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","1,20,00,000","1,20,00,000","5,000","7,500"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 64, Tehsil : Gwalior Gramin",,,,,,,,,,,,,,,,,
1009,TELARI  ( SADA  ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1010,THAR ( SADA  ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,00,00,000","1,00,00,000","15,000","22,500"
1011,THAR (A. B. ROAD AVAM A. B. ROAD BYPASS),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1012,THAR (ROAD SE ANDAR),"2,800","4,200","2,800","15,800","10,000","8,400","6,800","28,200","26,600","25,000","12,640","22,560","1,00,00,000","60,00,000","2,800","4,200"
1013,VAIBHAV RESIDENCY (A.B.ROAD),"25,000","37,500","25,000","38,000","32,200","30,600","29,000","61,500","59,900","58,300","30,400","49,200","1,84,00,000","1,84,00,000","25,000","37,500"
1014,VAIBHAV RESIDENCY (MAIN ROAD SE ANDAR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","1,84,00,000","1,84,00,000","20,000","30,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1015,"AJAYPUR, CHAK AJAYPUR (ANYA ROAD PAR)","15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1016,"AJAYPUR, CHAK AJAYPUR (ROAD SE ANDAR)","10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","1,80,00,000","1,80,00,000","10,000","15,000"
1017,CHAK GIRWAI NO.1 A.B. ROAD PAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","1,60,00,000","1,60,00,000","20,000","30,000"
1018,CHAK GIRWAI NO.1 ROAD SE ANDAR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,20,00,000","1,20,00,000","8,000","12,000"
1019,CHAK GIRWAI NO.2 A.B. ROAD PAR,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","1,60,00,000","1,60,00,000","20,000","30,000"
1020,CHAK GIRWAI NO.2 ROAD SE ANDAR,"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,20,00,000","1,20,00,000","8,000","12,000"
1021,GIRWAI A.B. (ROAD PAR),"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","2,50,00,000","2,50,00,000","20,000","30,000"
1022,GIRWAI ANYA ROAD SE ANDAR),"9,000","13,500","9,000","22,000","16,200","14,600","13,000","37,500","35,900","34,300","17,600","30,000","1,50,00,000","1,50,00,000","9,000","13,500"
1023,GUDA NAKE SE SHIKANDAR KAMPOO VEERPUR BANDH A.B. ROAD TAK,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","2,50,00,000","2,50,00,000","20,000","30,000"
1024,KRISHNA GREEN CITY GIRWAI,"20,000","30,000","20,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","2,50,00,000","2,50,00,000","20,000","30,000"
1025,"VEERPUR (ROAD SE ANDAR) , ALEVETED ROAD","7,000","10,500","7,000","20,000","14,200","12,600","11,000","34,500","32,900","31,300","16,000","27,600","1,50,00,000","1,50,00,000","7,000","10,500"
1026,VEERPUR GIRWAI  (A. B. ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","39,000","37,400","35,800","21,600","31,200","1,60,00,000","1,60,00,000","15,000","22,500"
1027,ajaipur maheshpura anya rod se andar,"10,000","15,000","10,000","23,000","17,200","15,600","14,000","39,000","37,400","35,800","18,400","31,200","2,00,00,000","2,00,00,000","10,000","15,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1028,BADORI ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,20,00,000","1,20,00,000","15,000","22,500"
1029,BADORI ROAD SE ANDAR,"5,000","7,500","5,000","18,000","12,200","10,600","9,000","31,500","29,900","28,300","14,400","25,200","1,00,00,000","1,00,00,000","5,000","7,500"
1030,BAROAA PICHOR (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,50,00,000","2,50,00,000","15,000","22,500"
1031,BAROAA PICHOR (ROAD SE ANDAR),"6,000","9,000","6,000","19,000","13,200","11,600","10,000","33,000","31,400","29,800","15,200","26,400","1,50,00,000","1,50,00,000","6,000","9,000"
1032,BELA (ROAD SE ANDAR),"4,500","6,750","4,500","17,500","11,700","10,100","8,500","30,750","29,150","27,550","14,000","24,600","1,50,00,000","1,50,00,000","4,500","6,750"
1033,BELA ROAD PAR,"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","1,75,00,000","1,75,00,000","15,000","22,500"
1034,CHANDOHA KHURD ( A.B. ROAD  OR BAYPASS ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,36,00,000","3,36,00,000","15,000","22,500"
1035,CHANDOHA KHURD (ROAD SE ANDAR),"12,000","18,000","12,000","25,000","19,200","17,600","16,000","42,000","40,400","38,800","20,000","33,600","2,48,35,200","2,48,35,200","12,000","18,000"
1036,CHHONDA  (A.B. ROAD OR  BIPAS ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","65,00,000","65,00,000","15,000","22,500"
1037,CHHONDA (ROAD SE ANDAR),"3,000","4,500","3,000","16,000","10,200","8,600","7,000","28,500","26,900","25,300","12,800","22,800","65,00,000","52,50,000","3,000","4,500"
1038,GARDEN CITY (NAGOR),"40,000","60,000","40,000","53,000","47,200","45,600","44,000","84,000","82,400","80,800","42,400","67,200","2,28,80,000","2,28,80,000","40,000","60,000"
1039,KHERIYA MRATYU (ROAD PAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","2,00,00,000","2,00,00,000","15,000","22,500"
1040,KHERIYA MRATYU (ROAD SE ANDAR),"8,000","12,000","8,000","21,000","15,200","13,600","12,000","36,000","34,400","32,800","16,800","28,800","1,50,00,000","1,50,00,000","8,000","12,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
1041,LAKHNOTI KHURD (ROAD PAR),"20,000","30,000","15,000","33,000","27,200","25,600","24,000","54,000","52,400","50,800","26,400","43,200","5,00,00,000","5,00,00,000","20,000","30,000"
"Urban Local Body : GWALIOR, Sub-Area : NAGAR NIGAM GWALIOR, Ward : WARD 66, Tehsil : Citycenter",,,,,,,,,,,,,,,,,
1042,LAKHNOTI KHURD (ROAD SE ANDAR),"15,000","22,500","15,000","28,000","22,200","20,600","19,000","46,500","44,900","43,300","22,400","37,200","3,00,00,000","3,00,00,000","15,000","22,500"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
